angle,exvalve1
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0.000001
146,0.000002
147,0.000004
148,0.000007
149,0.00001
150,0.000014
151,0.000019
152,0.000023
153,0.000028
154,0.000033
155,0.000038
156,0.000044
157,0.000051
158,0.000057
159,0.000064
160,0.000072
161,0.00008
162,0.00009
163,0.0001
164,0.000114
165,0.00013
166,0.00015
167,0.00017
168,0.0002
169,0.00024
170,0.00028
171,0.00032
172,0.00037
173,0.00043
174,0.00049
175,0.00055
176,0.00062
177,0.0007
178,0.00078
179,0.00086
180,0.00095
181,0.00104
182,0.00114
183,0.00124
184,0.00135
185,0.00146
186,0.00157
187,0.00169
188,0.00181
189,0.00193
190,0.00206
191,0.00218
192,0.00231
193,0.00244
194,0.00258
195,0.00271
196,0.00284
197,0.00298
198,0.00311
199,0.00325
200,0.00338
201,0.00352
202,0.00365
203,0.00378
204,0.00392
205,0.00405
206,0.00419
207,0.00432
208,0.00445
209,0.00458
210,0.00471
211,0.00484
212,0.00497
213,0.0051
214,0.00522
215,0.00535
216,0.00547
217,0.00559
218,0.00571
219,0.00583
220,0.00595
221,0.00606
222,0.00617
223,0.00629
224,0.0064
225,0.00651
226,0.00661
227,0.00672
228,0.00682
229,0.00692
230,0.00702
231,0.00712
232,0.00721
233,0.00731
234,0.0074
235,0.00749
236,0.00758
237,0.00766
238,0.00774
239,0.00783
240,0.0079
241,0.00798
242,0.00806
243,0.00813
244,0.0082
245,0.00827
246,0.00834
247,0.0084
248,0.00846
249,0.00852
250,0.00858
251,0.00864
252,0.00869
253,0.00874
254,0.00879
255,0.00884
256,0.00888
257,0.00893
258,0.00897
259,0.009
260,0.00904
261,0.00907
262,0.0091
263,0.00913
264,0.00916
265,0.00918
266,0.00921
267,0.00923
268,0.00924
269,0.00926
270,0.00927
271,0.00928
272,0.00929
273,0.0093
274,0.0093
275,0.0093
276,0.0093
277,0.00929
278,0.00929
279,0.00928
280,0.00927
281,0.00926
282,0.00924
283,0.00923
284,0.00921
285,0.00918
286,0.00916
287,0.00913
288,0.0091
289,0.00907
290,0.00904
291,0.009
292,0.00897
293,0.00893
294,0.00888
295,0.00884
296,0.00879
297,0.00874
298,0.00869
299,0.00863
300,0.00858
301,0.00852
302,0.00846
303,0.00839
304,0.00833
305,0.00826
306,0.00819
307,0.00812
308,0.00805
309,0.00797
310,0.00789
311,0.00781
312,0.00773
313,0.00764
314,0.00756
315,0.00747
316,0.00738
317,0.00728
318,0.00719
319,0.00709
320,0.00699
321,0.00689
322,0.00679
323,0.00669
324,0.00658
325,0.00647
326,0.00636
327,0.00625
328,0.00614
329,0.00603
330,0.00591
331,0.00579
332,0.00567
333,0.00555
334,0.00543
335,0.00531
336,0.00518
337,0.00506
338,0.00493
339,0.0048
340,0.00468
341,0.00455
342,0.00442
343,0.00429
344,0.00416
345,0.00403
346,0.00389
347,0.00376
348,0.00363
349,0.0035
350,0.00337
351,0.00324
352,0.00311
353,0.00298
354,0.00285
355,0.00272
356,0.0026
357,0.00247
358,0.00235
359,0.00222
360,0.0021
361,0.00198
362,0.00187
363,0.00175
364,0.00164
365,0.00153
