run_id,window_id,simulation_start,simulation_end,gt_degradation_type,gt_target_component,gt_active_severity,gt_current_health,gt_is_degraded
HEALTHY_001,HEALTHY_001_W0000,0.0,4.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0001,1.0,5.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0002,2.0,6.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0003,3.0,7.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0004,4.0,8.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0005,5.0,9.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0006,6.0,10.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0007,7.0,11.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0008,8.0,12.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0009,9.0,13.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0010,10.0,14.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0011,11.0,15.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0012,12.0,16.990000000000002,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0013,13.0,17.990000000000002,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0014,14.0,18.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0015,15.0,19.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0016,16.0,20.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0017,17.0,21.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0018,18.0,22.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0019,19.0,23.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0020,20.0,24.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0021,21.0,25.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0022,22.0,26.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0023,23.0,27.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0024,24.0,28.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0025,25.0,29.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0026,26.0,30.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0027,27.0,31.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0028,28.0,32.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0029,29.0,33.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0030,30.0,34.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0031,31.0,35.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0032,32.0,36.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0033,33.0,37.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0034,34.0,38.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0035,35.0,39.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0036,36.0,40.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0037,37.0,41.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0038,38.0,42.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0039,39.0,43.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0040,40.0,44.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0041,41.0,45.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0042,42.0,46.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0043,43.0,47.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0044,44.0,48.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0045,45.0,49.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0046,46.0,50.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0047,47.0,51.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0048,48.0,52.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0049,49.0,53.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0050,50.0,54.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0051,51.0,55.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0052,52.0,56.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0053,53.0,57.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0054,54.0,58.99,NONE,NONE,0.0,1.0,False
HEALTHY_001,HEALTHY_001_W0055,55.0,59.99,NONE,NONE,0.0,1.0,False
HEALTHY_002,HEALTHY_002_W0000,0.0,4.99,NONE,NONE,0.0,1.0,False
HEALTHY_002,HEALTHY_002_W0001,1.0,5.99,NONE,NONE,0.0,1.0,False
HEALTHY_002,HEALTHY_002_W0002,2.0,6.99,NONE,NONE,0.0,1.0,False
HEALTHY_002,HEALTHY_002_W0003,3.0,7.99,NONE,NONE,0.0,1.0,False
HEALTHY_002,HEALTHY_002_W0004,4.0,8.99,NONE,NONE,0.0,1.0,False
HEALTHY_002,HEALTHY_002_W0005,5.0,9.99,NONE,NONE,0.0,1.0,False
HEALTHY_002,HEALTHY_002_W0006,6.0,10.99,NONE,NONE,0.0,1.0,False
HEALTHY_002,HEALTHY_002_W0007,7.0,11.99,NONE,NONE,0.0,1.0,False
HEALTHY_002,HEALTHY_002_W0008,8.0,12.99,NONE,NONE,0.0,1.0,False
HEALTHY_002,HEALTHY_002_W0009,9.0,13.99,NONE,NONE,0.0,1.0,False
HEALTHY_002,HEALTHY_002_W0010,10.0,14.99,NONE,NONE,0.0,1.0,False
HEALTHY_002,HEALTHY_002_W0011,11.0,15.99,NONE,NONE,0.0,1.0,False
HEALTHY_002,HEALTHY_002_W0012,12.0,16.990000000000002,NONE,NONE,0.0,1.0,False
HEALTHY_002,HEALTHY_002_W0013,13.0,17.990000000000002,NONE,NONE,0.0,1.0,False
HEALTHY_002,HEALTHY_002_W0014,14.0,18.99,NONE,NONE,0.0,1.0,False
HEALTHY_002,HEALTHY_002_W0015,15.0,19.99,NONE,NONE,0.0,1.0,False
HEALTHY_002,HEALTHY_002_W0016,16.0,20.99,NONE,NONE,0.0,1.0,False
HEALTHY_002,HEALTHY_002_W0017,17.0,21.99,NONE,NONE,0.0,1.0,False
HEALTHY_002,HEALTHY_002_W0018,18.0,22.99,NONE,NONE,0.0,1.0,False
HEALTHY_002,HEALTHY_002_W0019,19.0,23.99,NONE,NONE,0.0,1.0,False
